Country,city,location,parameter_name,parameter_description,measurement_datetime,measurement_value,unit,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,VISOKO,,O3,Ozone (air),21-07-10,7781.363,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),18-04-16,18817.734,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,VISOKO,,NO2,Nitrogen dioxide (air),28-05-18,7.738,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),23-04-11,3623.313,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0055A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,VISOKO,,NO2,Nitrogen dioxide (air),21-01-22,67.585,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,SO2,Sulphur dioxide (air),10-06-23,141.333,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0056A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,TESANJ,,NO2,Nitrogen dioxide (air),08-02-21,-2.707,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=8&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,SO2,Sulphur dioxide (air),28-02-10,86.388,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,NO2,Nitrogen dioxide (air),21-11-22,0.002,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,SO2,Sulphur dioxide (air),17-08-12,199.81,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,SO2,Sulphur dioxide (air),05-12-15,9.448,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,SO2,Sulphur dioxide (air),03-10-14,24.54,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,NO2,Nitrogen dioxide (air),02-08-17,0,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=8&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,PM10,Particulate matter < 10 µm (aerosol),09-12-17,4,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,O3,Ozone (air),04-08-12,13170.988,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0056A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,TESANJ,,O3,Ozone (air),29-07-14,16463.735,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0056A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,TESANJ,,NO2,Nitrogen dioxide (air),21-08-22,26.867,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=8&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),03-07-16,45.426,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,O3,Ozone (air),28-10-14,87.672,ug/m3,E2a/UTD AQ e-Reporting,
